attacker,victim,weapon,lifetime
Cl34v3rs,CaH9_6pa6yc,m4a1_silencer,116.421875
Cl34v3rs,Templl,m4a1_silencer,131.5625
Raynare-,Cl34v3rs,ak47,131.75
OneLion,nibito,deagle,54.46875
Templl,hayanh-,ak47,65.375
Raynare-,OneLion,ak47,70.6875
Raynare-,farmaG,ak47,70.78125
CaH9_6pa6yc,Cl34v3rs,tec9,85.75
Templl,Cl34v3rs,ak47,48.078125
7oX1C,spexy-,ak47,52.890625
OneLion,CaH9_6pa6yc,m4a1_silencer,61.9375
hayanh-,Raynare-,m4a1_silencer,68.375
nibito,OneLion,awp,76.265625
hayanh-,7oX1C,m4a1_silencer,77.03125
hayanh-,nibito,hegrenade,82.71875
hayanh-,Templl,m4a1_silencer,89.859375
Cl34v3rs,nibito,m4a1_silencer,51.96875
Cl34v3rs,7oX1C,m4a1_silencer,80.625
CaH9_6pa6yc,spexy-,ak47,83.109375
Templl,Cl34v3rs,ak47,83.671875
hayanh-,Raynare-,ak47,85.890625
Templl,hayanh-,ak47,86.78125
OneLion,CaH9_6pa6yc,m4a1_silencer,87.046875
Templl,farmaG,ak47,92.59375
OneLion,Templl,m4a1_silencer,98.265625
CaH9_6pa6yc,Cl34v3rs,awp,16.640625
farmaG,nibito,awp,78.125
7oX1C,hayanh-,ak47,93.65625
OneLion,7oX1C,ak47,96.515625
Raynare-,spexy-,ak47,100.40625
Raynare-,OneLion,ak47,107.21875
hayanh-,CaH9_6pa6yc,famas,48.4375
OneLion,nibito,famas,60.09375
hayanh-,Raynare-,famas,63.1875
7oX1C,spexy-,ak47,64.34375
OneLion,7oX1C,famas,65.59375
OneLion,Templl,famas,66.140625
Cl34v3rs,CaH9_6pa6yc,m4a1_silencer,23.0625
Templl,Cl34v3rs,ak47,23.578125
Raynare-,spexy-,ak47,38.453125
farmaG,Raynare-,awp,38.640625
7oX1C,hayanh-,ak47,57.609375
OneLion,7oX1C,m4a1_silencer,62.71875
nibito,farmaG,ak47,98.5625
OneLion,Templl,m4a1_silencer,122.25
nibito,OneLion,ak47,137.375
OneLion,7oX1C,m4a1_silencer,37.046875
CaH9_6pa6yc,OneLion,awp,57.03125
Cl34v3rs,Raynare-,m4a1_silencer,82.359375
CaH9_6pa6yc,Cl34v3rs,awp,99.703125
CaH9_6pa6yc,spexy-,tec9,118.484375
Templl,farmaG,ak47,127.203125
nibito,hayanh-,ak47,130.84375
7oX1C,farmaG,ak47,28.859375
hayanh-,Templl,m4a1_silencer,36.15625
nibito,hayanh-,ak47,36.703125
OneLion,CaH9_6pa6yc,m4a1_silencer,68.5625
7oX1C,OneLion,ak47,91.5
7oX1C,spexy-,ak47,93.265625
nibito,Cl34v3rs,ak47,96.09375
Cl34v3rs,7oX1C,ak47,11.03125
farmaG,CaH9_6pa6yc,awp,11.8125
hayanh-,Templl,ak47,45.0
Raynare-,Cl34v3rs,awp,65.265625
spexy-,nibito,ak47,65.875
spexy-,Raynare-,ak47,73.234375
7oX1C,Cl34v3rs,m4a1,41.109375
hayanh-,nibito,ak47,81.578125
hayanh-,Templl,ak47,83.75
farmaG,7oX1C,awp,115.40625
OneLion,Raynare-,ak47,119.625
OneLion,CaH9_6pa6yc,ak47,121.484375
hayanh-,7oX1C,ak47,47.015625
CaH9_6pa6yc,hayanh-,awp,76.515625
nibito,OneLion,m4a1,95.671875
Cl34v3rs,nibito,ak47,96.84375
farmaG,Templl,awp,97.96875
Cl34v3rs,Raynare-,ak47,98.03125
CaH9_6pa6yc,spexy-,awp,132.34375
farmaG,CaH9_6pa6yc,awp,137.421875
,farmaG,planted_c4,144.4375
,Cl34v3rs,planted_c4,144.4375
Templl,farmaG,awp,18.84375
spexy-,Templl,ak47,52.421875
nibito,spexy-,m4a1,53.828125
Cl34v3rs,CaH9_6pa6yc,awp,70.71875
OneLion,nibito,ak47,72.4375
Cl34v3rs,7oX1C,awp,103.71875
Raynare-,hayanh-,m4a1,104.734375
Raynare-,OneLion,m4a1,107.328125
Raynare-,Cl34v3rs,m4a1,110.921875
Cl34v3rs,7oX1C,ak47,29.796875
hayanh-,nibito,ak47,51.28125
Raynare-,hayanh-,m4a1,52.796875
spexy-,CaH9_6pa6yc,ak47,129.171875
farmaG,Templl,awp,130.484375
spexy-,Raynare-,ak47,132.390625
hayanh-,Templl,ak47,14.65625
CaH9_6pa6yc,hayanh-,awp,20.203125
nibito,Cl34v3rs,m4a1,32.25
Raynare-,farmaG,m4a1,77.59375
CaH9_6pa6yc,spexy-,awp,79.6875
OneLion,CaH9_6pa6yc,ak47,82.015625
Raynare-,OneLion,m4a1,90.75
spexy-,7oX1C,m4a1_silencer,15.34375
Templl,Cl34v3rs,ak47,71.234375
spexy-,nibito,m4a1_silencer,71.4375
Templl,spexy-,ak47,71.9375
Templl,OneLion,ak47,76.109375
hayanh-,Templl,m4a1_silencer,95.34375
Raynare-,hayanh-,ak47,98.421875
farmaG,Raynare-,awp,105.796875
farmaG,CaH9_6pa6yc,usp_silencer,109.71875
Cl34v3rs,7oX1C,m4a1_silencer,11.078125
OneLion,Templl,m4a1_silencer,51.671875
OneLion,nibito,m4a1_silencer,53.296875
CaH9_6pa6yc,spexy-,awp,55.9375
farmaG,CaH9_6pa6yc,awp,57.6875
Raynare-,farmaG,ak47,60.4375
OneLion,Raynare-,ak47,63.046875
spexy-,7oX1C,m4a1_silencer,57.328125
spexy-,Templl,m4a1_silencer,57.9375
nibito,Cl34v3rs,ak47,62.21875
farmaG,Raynare-,awp,69.59375
nibito,farmaG,ak47,70.8125
OneLion,nibito,ak47,79.484375
CaH9_6pa6yc,OneLion,awp,81.65625
spexy-,CaH9_6pa6yc,ak47,85.96875
